accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k
P28744,392,0.12244897959183673,48,attention_weights,0.5701913759689923,0.14318999986229491,0.125
A0A140KPR8,264,0.2840909090909091,75,attention_weights,0.5520282186948854,0.31764543259418754,0.3333333432674408
Q09KA1,317,0.2113564668769716,67,attention_weights,0.42937313432835816,0.20296276001532698,0.1492537260055542
A0A6P6YEX8,502,0.2290836653386454,115,attention_weights,0.5627008201325694,0.3000510443508143,0.2869565188884735
A0A6P6Y1G3,132,0.11363636363636363,15,attention_weights,0.4632478632478632,0.11713850506920867,0.13333334028720856
A0A6P6YDD5,536,0.11194029850746269,60,attention_weights,0.4669467787114846,0.13597492152894172,0.1666666716337204
A0A6P6YF71,188,0.2925531914893617,55,attention_weights,0.5259056732740944,0.3130960922470585,0.27272728085517883
A5X5X4,155,0.1935483870967742,30,attention_weights,0.3784,0.15596380695528234,0.10000000149011612
A0A6P6Y415,156,0.09615384615384616,15,attention_weights,0.4685579196217494,0.08947936141634855,0.0
P00755,261,0.24904214559386972,65,attention_weights,0.4434065934065934,0.24693480216014824,0.2461538463830948
Q402I5,439,0.03416856492027335,15,attention_weights,0.6622641509433962,0.09717613092373234,0.20000000298023224
P51437,172,0.08139534883720931,14,attention_weights,0.25949367088607594,0.0554475111686234,0.0
O09043,419,0.057279236276849645,24,attention_weights,0.4256329113924051,0.053216164494553284,0.0
P03953,259,0.138996138996139,36,attention_weights,0.6586945690084703,0.2241760623720359,0.1666666716337204
A2AJD1,591,0.025380710659898477,15,attention_weights,0.7527777777777778,0.06002414154021178,0.06666667014360428
B1AVU4,173,0.26011560693641617,45,attention_weights,0.565625,0.36050885501872,0.3333333432674408
P61110,121,0.2727272727272727,33,attention_weights,0.4166666666666667,0.2305112926747636,0.1515151560306549
Q91X17,642,0.05451713395638629,35,attention_weights,0.5893151329724641,0.06991858674030482,0.05714285746216774
P23492,289,0.05190311418685121,15,attention_weights,0.4328467153284672,0.04776867291867361,0.0
