accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k,ig_scores_json
P01012,386,0.4481865284974093,173,random_mean,0.49651849439604867,0.45253402009518706,0.44358381502890176,
P01012,386,0.4481865284974093,173,shuffled_mean,0.5020993785448722,0.4597310817762339,0.4502312138728324,
A0ABQ9K8N2,204,0.4411764705882353,90,attention_weights,0.41627680311890836,0.4100477010105535,0.35555555555555557,
A0ABQ9K8N2,204,0.4411764705882353,90,integrated_gradients,0.47992202729044836,0.41913667684505607,0.4111111111111111,"[16.087291717529297,8.49724006652832,10.338744163513184,6.063349723815918,4.40727424621582,4.7317891120910645,4.634097099304199,3.939704179763794,7.165348052978516,3.114208221435547,6.858242988586426,6.068950653076172,2.5246989727020264,3.5433220863342285,6.589601993560791,3.444516181945801,6.0753350257873535,2.3050618171691895,2.4771580696105957,3.2905454635620117,3.548976421356201,5.392359733581543,2.4978079795837402,3.5891757011413574,6.19100284576416,2.960846185684204,7.026627540588379,3.554232358932495,2.8256995677948,2.6088271141052246,4.253317832946777,2.5969035625457764,3.8756966590881348,2.237069606781006,5.532993316650391,4.503066062927246,4.46980094909668,2.738691806793213,3.490035057067871,5.121278762817383,2.4024100303649902,5.133025169372559,5.833802223205566,3.600830554962158,2.4956979751586914,8.105963706970215,2.2513363361358643,3.285590648651123,3.1196084022521973,3.0670719146728516,3.0087203979492188,2.4980216026306152,6.481997489929199,2.4084835052490234,2.63472580909729,2.870222568511963,2.7652227878570557,4.493178844451904,3.0646767616271973,4.902708053588867,4.972212791442871,2.812582492828369,3.395193576812744,3.517521858215332,2.8744702339172363,2.1272270679473877,2.343257188796997,5.639336585998535,5.056415557861328,2.1341140270233154,6.89406681060791,5.254160404205322,2.509538173675537,3.335134983062744,6.701753616333008,2.5738580226898193,2.3153624534606934,2.5933375358581543,2.198777914047241,2.094486713409424,2.1583142280578613,5.764452934265137,3.127220630645752,2.6269140243530273,2.3071956634521484,3.546814441680908,3.53861141204834,3.046393871307373,3.015040874481201,5.478470802307129,3.969632863998413,3.0064330101013184,2.068617582321167,2.0896525382995605,3.654616355895996,2.1405704021453857,3.6771092414855957,2.3334317207336426,3.9572701454162598,2.076693296432495,3.7454776763916016,6.989580154418945,2.423429012298584,4.3066229820251465,5.495852470397949,3.327831745147705,3.0051162242889404,2.6343142986297607,4.692476749420166,3.7129507064819336,2.259157180786133,2.690277576446533,2.406576156616211,2.93156099319458,5.742758750915527,3.1754579544067383,2.583177328109741,2.2978034019470215,2.818488597869873,4.004166603088379,3.987802028656006,2.8734617233276367,2.3270115852355957,5.955265045166016,2.601487159729004,3.5136542320251465,3.1537322998046875,2.379739284515381,2.545010566711426,2.480626106262207,3.392601490020752,3.6596124172210693,6.335478782653809,2.367887496948242,3.3104805946350098,4.228977203369141,4.895661354064941,3.0554652214050293,3.6641039848327637,3.309391498565674,2.0178847312927246,2.868152618408203,2.5799965858459473,2.271599292755127,1.7932225465774536,3.1372580528259277,4.9197564125061035,1.7409389019012451,4.399991035461426,1.5430994033813477,2.532017707824707,3.589139938354492,3.984224319458008,2.8558273315429688,2.01784086227417,2.1037039756774902,2.604062080383301,2.606088876724243,2.7442092895507812,4.050965309143066,2.7662224769592285,2.0644662380218506,2.8693995475769043,4.309577941894531,4.459723472595215,2.6621899604797363,2.7119791507720947,5.072777271270752,3.9651172161102295,2.631878614425659,5.539449691772461,2.5342419147491455,2.55963134765625,4.692931175231934,2.2466650009155273,2.830012083053589,3.234469413757324,2.554947853088379,3.371678352355957,3.0948233604431152,3.2895493507385254,4.740799903869629,2.660161018371582,2.3510665893554688,2.266228675842285,2.4143173694610596,1.9700182676315308,3.956747055053711,2.0253069400787354,1.7026269435882568,3.690317153930664,2.2249581813812256,2.7669730186462402,3.379392147064209,2.4469408988952637,2.371109962463379,4.045803070068359,2.1516804695129395,4.409015655517578,1.8578343391418457,3.6641340255737305,2.908520221710205,2.536984920501709,1.7286641597747803]"
A0ABQ9K8N2,204,0.4411764705882353,90,random_mean,0.5013031189083821,0.45571853825981035,0.4431111111111111,
A0ABQ9K8N2,204,0.4411764705882353,90,shuffled_mean,0.49425925925925923,0.44678935715140544,0.4337777777777779,
P27762,397,0.04030226700251889,16,attention_weights,0.33841863517060367,0.02991324061621252,0.0,
P27762,397,0.04030226700251889,16,integrated_gradients,0.3379265091863517,0.02996903298036454,0.0,"[5.988449573516846,2.269170045852661,1.699263334274292,3.8600234985351562,2.7351489067077637,1.5855385065078735,1.8809354305267334,2.668182373046875,1.8233251571655273,1.4235109090805054,1.9853832721710205,1.7703588008880615,1.3429274559020996,1.6331878900527954,1.733978509902954,1.7540318965911865,1.6475045680999756,1.3082103729248047,1.4313056468963623,1.4536701440811157,0.9081917405128479,0.936390221118927,2.6040425300598145,1.2576003074645996,0.6870144605636597,0.7365458607673645,1.6272612810134888,1.5309138298034668,1.1531906127929688,0.8982353806495667,1.3412153720855713,0.6835877299308777,0.9827423691749573,0.8865706920623779,1.1276772022247314,1.176025152206421,1.195136308670044,0.9123082160949707,0.5199981331825256,0.5494963526725769,0.8002872467041016,0.6204319000244141,0.9249287843704224,1.5350912809371948,2.931990623474121,1.3550916910171509,0.6582777500152588,0.9862135052680969,1.0736126899719238,1.202767252922058,1.3999773263931274,1.2789582014083862,1.2548158168792725,2.7973599433898926,1.7087889909744263,1.093179702758789,2.536716938018799,0.9235666990280151,1.0296334028244019,1.2186424732208252,2.140753746032715,0.7013877630233765,2.0276124477386475,0.9986280202865601,1.2635736465454102,0.8870305418968201,1.0142695903778076,2.015573263168335,2.2099387645721436,1.5797146558761597,2.75418758392334,0.9209246635437012,1.168776035308838,1.1833304166793823,1.4299631118774414,0.9631168842315674,1.3572368621826172,0.8585880994796753,1.2846617698669434,1.7281441688537598,1.2403819561004639,1.1203675270080566,1.1604547500610352,1.7570208311080933,1.2816686630249023,1.1906284093856812,1.9364385604858398,3.3607375621795654,1.7253637313842773,1.0217307806015015,1.2363409996032715,1.0294965505599976,0.8561568260192871,0.8287267684936523,0.9013321399688721,1.007690191268921,1.104085087776184,1.682225227355957,1.5971190929412842,1.2087147235870361,1.775619626045227,1.1837425231933594,1.1993361711502075,1.6563791036605835,0.8915260434150696,0.5842901468276978,1.1610054969787598,1.499000072479248,1.1080445051193237,0.8257231712341309,0.7581757307052612,0.6165671944618225,1.1657884120941162,0.7265355587005615,2.304809093475342,0.7968348264694214,1.944014549255371,0.5359823703765869,0.5619288682937622,1.2497901916503906,0.7810115814208984,0.829099714756012,0.7539770007133484,0.8258087635040283,0.6628759503364563,0.6515759229660034,1.3070710897445679,0.5383078455924988,0.5736815333366394,0.5913909673690796,1.022254228591919,0.9777783155441284,0.8160372972488403,0.574429988861084,0.5114649534225464,0.6181948184967041,1.226665735244751,0.6692368984222412,0.6590962409973145,0.6850696802139282,0.8165498971939087,0.5510858297348022,0.6597652435302734,0.5679186582565308,0.5112537145614624,0.6332002878189087,0.6016597151756287,0.7919620871543884,0.5079890489578247,0.9451055526733398,1.2190287113189697,1.0076855421066284,0.9742881059646606,0.8255935907363892,0.5655862092971802,0.5697721838951111,1.4385576248168945,1.1076936721801758,1.3391810655593872,1.3562849760055542,1.0160536766052246,0.9778651595115662,1.1048837900161743,1.4926705360412598,1.106351613998413,1.3205198049545288,1.341367483139038,1.0199925899505615,0.8531630039215088,1.4976837635040283,0.8830840587615967,0.8412642478942871,0.5788272619247437,0.9199960827827454,0.6946731805801392,1.1807615756988525,0.9771490097045898,1.0472757816314697,0.6402666568756104,0.7320519685745239,0.6787402629852295,0.5896913409233093,0.6998316645622253,0.7920637130737305,0.793633759021759,1.0003856420516968,0.5949002504348755,0.7028843760490417,1.1770797967910767,0.6572732925415039,1.20863938331604,0.49325090646743774,0.5962581634521484,0.8106268644332886,0.9126044511795044,0.6764784455299377,0.4884888827800751,1.2140624523162842,1.84260094165802,0.6077181100845337,0.5855323076248169,1.277205467224121,0.8287854790687561,0.8405651450157166,1.1072243452072144,0.9524719715118408,1.8927549123764038,0.9113671183586121,1.2109235525131226,1.5446183681488037,1.692934513092041,1.1596217155456543,0.8253353834152222,0.7876280546188354,0.8956881761550903,0.6236165761947632,0.7994039058685303,0.9715767502784729,1.830810308456421,0.6304324865341187,0.5004780292510986,1.3714983463287354,0.5331330299377441,1.0216035842895508,2.2381622791290283,1.4296096563339233,0.6963209509849548,0.7659754753112793,2.2302143573760986,0.6236801147460938,0.7245468497276306,0.8827402591705322,0.6741752028465271,0.7639898061752319,1.5077588558197021,0.939995527267456,1.8255541324615479,0.6639071702957153,1.7000346183776855,1.7134809494018555,0.7142748832702637,0.9446249008178711,0.7025325298309326,1.0030059814453125,0.7051645517349243,0.61229407787323,0.8608177304267883,0.5663508176803589,0.5538914799690247,0.8063058853149414,0.5753337144851685,1.361884593963623,1.010946273803711,0.596333384513855,0.8178378343582153,0.7020949721336365,0.6540675163269043,0.9976274371147156,1.3549178838729858,0.8137580156326294,0.5680742263793945,0.5056031346321106,0.5362054109573364,1.198299765586853,0.907752275466919,1.006049633026123,1.1210476160049438,0.5421750545501709,0.9522764682769775,0.5691345930099487,0.5005719065666199,1.3532049655914307,0.5230294466018677,0.5080492496490479,1.1788996458053589,0.9648476243019104,0.5577353239059448,1.1369339227676392,0.5619198083877563,1.1774065494537354,0.6751899719238281,0.9463707208633423,1.0250935554504395,0.480732798576355,0.4702743887901306,0.5517350435256958,0.7052760124206543,0.5652724504470825,1.3782382011413574,1.434574842453003,0.8254491090774536,0.6993896961212158,1.07362961769104,0.7707632780075073,0.9060784578323364,1.1828545331954956,0.5088027715682983,0.5074983835220337,0.5987470149993896,0.6714348793029785,0.5144423842430115,0.47392213344573975,0.5202997922897339,1.2046842575073242,0.5763455033302307,0.6862836480140686,0.5354647636413574,0.422057181596756,0.5817366242408752,0.6282262802124023,0.5165655016899109,0.6652041673660278,0.9015382528305054,0.6300013065338135,0.49326181411743164,1.3429830074310303,1.5728750228881836,1.0184080600738525,1.150847315788269,1.0583174228668213,0.7993651628494263,0.6753771901130676,0.767913818359375,0.6059085726737976,1.13686203956604,0.9484400749206543,0.9629126191139221,0.7102693915367126,1.08089280128479,0.5284087657928467,0.7976776957511902,0.941419243812561,2.2216453552246094,1.1139367818832397,1.2277770042419434,1.6069326400756836,0.7890421152114868,1.8366994857788086,0.731877863407135,1.5607773065567017,0.6938507556915283,0.763594388961792,0.6601381301879883,0.6645487546920776,0.7763973474502563,0.6702667474746704,0.7773092985153198,0.7792503833770752,0.6520373225212097,0.8940922021865845,0.5015285611152649,1.089400291442871,1.0665757656097412,0.8980885744094849,0.43630534410476685,0.626096248626709,1.1548711061477661,0.7651268839836121,0.7548088431358337,1.2628800868988037,0.7042897939682007,0.7525504231452942,0.6218940019607544,0.5238116979598999,1.0757098197937012,1.114031195640564,0.6476430296897888,0.5439872741699219,0.9188309907913208,2.007432222366333,1.961132287979126,1.2398762702941895,0.6139998435974121,0.9292147159576416,1.2508225440979004,0.9537405967712402,0.9504513144493103,2.289435386657715,0.7916524410247803,0.908650279045105,1.1109833717346191,0.7136151790618896,0.6759528517723083,1.9969502687454224,0.5331960916519165,0.3966730833053589,0.968015730381012,0.6085983514785767,0.674062967300415,0.650025486946106,1.697901964187622,0.6956141591072083,1.3098492622375488,1.131422996520996,0.6771590113639832,1.0788476467132568,1.8085602521896362]"
P27762,397,0.04030226700251889,16,random_mean,0.4959022309711287,0.05144016139360051,0.036875,
P27762,397,0.04030226700251889,16,shuffled_mean,0.5010564304461943,0.05298095800466896,0.0425,
O65457,394,0.04060913705583756,16,attention_weights,0.4890873015873016,0.04063011289156344,0.0,
