sequence_id,split,label,sequence_length,source_row_index
allergen_2869,train,1,165,115
allergen_736,train,1,117,116
allergen_350,train,1,131,117
allergen_2083,train,1,334,118
allergen_1776,train,1,142,119
allergen_343,train,1,159,120
allergen_2750,train,1,268,121
allergen_2496,train,1,231,122
allergen_2064,train,1,108,123
allergen_2909,train,1,532,124
allergen_2772,train,1,721,125
allergen_462,train,1,438,126
allergen_617,train,1,434,127
allergen_2457,train,1,28,128
allergen_2689,train,1,399,129
allergen_3275,train,1,244,130
allergen_2978,train,1,131,131
allergen_2638,train,1,159,132
allergen_50,train,1,605,133
allergen_926,train,1,150,134
allergen_584,train,1,141,135
allergen_3274,train,1,246,136
allergen_3264,train,1,240,137
allergen_2734,train,1,120,138
allergen_2865,train,1,152,139
allergen_193,train,1,130,140
allergen_2777,train,1,138,141
allergen_3550,train,1,20,142
allergen_940,train,1,177,143
allergen_2630,train,1,159,144
allergen_708,train,1,618,145
allergen_3120,train,1,172,146
allergen_3212,train,1,279,147
allergen_1758,train,1,410,148
allergen_1903,train,1,152,149
allergen_1084,train,1,195,150
allergen_3414,train,1,284,151
allergen_3525,train,1,23,152
allergen_2704,train,1,552,153
allergen_649,train,1,146,154
allergen_548,train,1,119,155
allergen_2697,train,1,392,156
allergen_2708,train,1,97,157
allergen_3117,train,1,653,158
allergen_3469,train,1,228,159
allergen_327,train,1,261,160
allergen_1623,train,1,131,161
allergen_2473,train,1,17,162
allergen_1818,train,1,269,163
allergen_2292,train,1,495,164
allergen_1789,train,1,131,165
allergen_499,train,1,636,166
allergen_3229,train,1,440,167
allergen_1976,train,1,160,168
allergen_1323,train,1,159,169
allergen_2736,train,1,118,170
allergen_508,train,1,284,171
allergen_2882,train,1,607,172
allergen_87,train,1,159,173
allergen_347,train,1,159,174
allergen_3454,train,1,238,175
allergen_1409,train,1,305,176
allergen_3204,train,1,260,177
allergen_1308,train,1,107,178
allergen_1703,train,1,114,179
allergen_2163,train,1,284,180
allergen_1452,train,1,122,181
allergen_782,train,1,285,182
allergen_814,train,1,325,183
allergen_3079,train,1,438,184
allergen_318,train,1,160,185
allergen_3153,train,1,173,186
allergen_1375,train,1,331,187
allergen_3543,train,1,248,188
allergen_2737,train,1,338,189
allergen_1747,train,1,291,190
allergen_3059,train,1,210,191
allergen_2707,train,1,126,192
allergen_306,train,1,78,193
allergen_2468,train,1,13,194
allergen_19,train,1,160,195
allergen_1538,train,1,129,196
allergen_1284,train,1,297,197
allergen_352,train,1,131,198
allergen_3397,train,1,279,199
allergen_1134,train,1,159,200
allergen_2798,train,1,188,201
allergen_127,train,1,204,202
allergen_2503,train,1,17,203
allergen_156,train,1,132,204
allergen_3177,train,1,263,205
allergen_176,train,1,269,206
allergen_268,train,1,395,207
allergen_198,train,1,375,208
allergen_375,train,1,205,209
allergen_2819,train,1,261,210
allergen_1411,train,1,175,211
allergen_2482,train,1,346,212
allergen_466,train,1,460,213
allergen_357,train,1,132,214
allergen_1787,train,1,131,215
allergen_925,train,1,177,216
allergen_1944,train,1,246,217
allergen_691,train,1,137,218
allergen_423,train,1,869,219
allergen_148,train,1,85,220
allergen_2516,train,1,284,221
allergen_665,train,1,340,222
allergen_412,train,1,137,223
allergen_1473,train,1,267,224
allergen_1172,train,1,173,225
allergen_1271,train,1,345,226
allergen_1893,train,1,505,227
allergen_1523,train,1,222,228
allergen_1586,train,1,65,229
allergen_2153,train,1,202,230
allergen_880,train,1,120,231
allergen_1650,train,1,338,232
allergen_667,train,1,183,233
allergen_2956,train,1,134,234
allergen_2235,train,1,100,235
allergen_1363,train,1,15,236
allergen_1264,train,1,214,237
allergen_3371,train,1,180,238
allergen_2056,train,1,108,239
allergen_1891,train,1,204,240
allergen_637,train,1,226,241
allergen_3501,train,1,137,242
allergen_2878,train,1,398,243
allergen_2855,train,1,131,244
allergen_3110,train,1,147,245
allergen_1949,train,1,218,246
allergen_2893,train,1,126,247
allergen_261,train,1,284,248
allergen_1562,train,1,219,249
allergen_900,train,1,160,250
allergen_1104,train,1,109,251
allergen_2871,train,1,86,252
allergen_439,train,1,253,253
allergen_3316,train,1,83,254
allergen_2055,train,1,108,255
allergen_2032,train,1,96,256
allergen_973,train,1,256,257
allergen_310,train,1,245,258
allergen_1073,train,1,110,259
allergen_8,train,1,380,260
allergen_2633,train,1,108,261
allergen_3080,train,1,706,262
allergen_1635,train,1,427,263
allergen_2319,train,1,24,264
allergen_64,train,1,120,265
allergen_1790,train,1,131,266
allergen_843,train,1,287,267
allergen_1339,train,1,276,268
allergen_3286,train,1,242,269
allergen_2494,train,1,14,270
allergen_775,train,1,284,271
allergen_431,train,1,445,272
allergen_2366,train,1,138,273
allergen_2198,train,1,525,274
allergen_3271,train,1,230,275
allergen_2710,train,1,158,276
allergen_1517,train,1,110,277
allergen_3173,train,1,279,278
allergen_917,train,1,355,279
allergen_149,train,1,159,280
allergen_1697,train,1,260,281
allergen_1589,train,1,109,282
allergen_3293,train,1,240,283
allergen_269,train,1,174,284
allergen_398,train,1,117,285
allergen_1962,train,1,277,286
allergen_2721,train,1,153,287
allergen_3495,train,1,137,288
allergen_3158,train,1,605,289
allergen_214,train,1,160,290
allergen_512,train,1,141,291
allergen_3268,train,1,220,292
allergen_1320,train,1,77,293
allergen_133,train,1,160,294
allergen_3421,train,1,273,295
allergen_1921,train,1,216,296
allergen_6,train,1,70,297
allergen_2258,train,1,332,298
allergen_1240,train,1,285,299
allergen_353,train,1,131,300
allergen_737,train,1,137,301
allergen_1123,train,1,396,302
allergen_3368,train,1,186,303
allergen_2927,train,1,134,304
allergen_2925,train,1,134,305
allergen_2636,train,1,444,306
allergen_781,train,1,284,307
allergen_2324,train,1,303,308
allergen_657,train,1,131,309
allergen_34,train,1,30,310
allergen_2451,train,1,12,311
allergen_3518,train,1,16,312
allergen_2461,train,1,16,313
allergen_1658,train,1,137,314
allergen_2883,train,1,107,315
allergen_1833,train,1,374,316
allergen_1613,train,1,143,317
allergen_985,train,1,160,318
allergen_3537,train,1,160,319
allergen_2491,train,1,12,320
allergen_777,train,1,387,321
allergen_1718,train,1,20,322
allergen_1361,train,1,113,323
allergen_2684,train,1,105,324
allergen_2155,train,1,310,325
allergen_1861,train,1,91,326
allergen_2050,train,1,298,327
allergen_2421,train,1,492,328
allergen_2226,train,1,181,329
allergen_885,train,1,109,330
allergen_3168,train,1,250,331
allergen_1901,train,1,144,332
allergen_3058,train,1,70,333
allergen_3383,train,1,145,334
allergen_2510,train,1,19,335
allergen_1390,train,1,160,336
allergen_1028,train,1,494,337
allergen_1364,train,1,15,338
allergen_698,train,1,160,339
allergen_2486,train,1,11,340
allergen_2802,train,1,365,341
allergen_1744,train,1,284,342
allergen_1895,train,1,159,343
allergen_461,train,1,438,344
allergen_3369,train,1,186,345
allergen_1388,train,1,160,346
allergen_3029,train,1,476,347
allergen_2760,train,1,92,348
allergen_1734,train,1,270,349
allergen_218,train,1,186,350
allergen_2997,train,1,171,351
allergen_2023,train,1,685,352
allergen_2217,train,1,50,353
allergen_1021,train,1,133,354
allergen_1167,train,1,153,355
allergen_964,train,1,131,356
allergen_3465,train,1,232,357
allergen_3216,train,1,257,358
allergen_2805,train,1,563,359
allergen_1398,train,1,25,360
allergen_2830,train,1,223,361
allergen_1795,train,1,129,362
allergen_1853,train,1,200,363
allergen_1168,train,1,471,364
allergen_1797,train,1,129,365
allergen_3167,train,1,248,366
allergen_3524,train,1,952,367
allergen_1748,train,1,634,368
allergen_1397,train,1,289,369
allergen_2912,train,1,54,370
allergen_1306,train,1,17,371
allergen_406,train,1,131,372
allergen_3539,train,1,431,373
allergen_2800,train,1,726,374
allergen_125,train,1,202,375
allergen_3428,train,1,242,376
allergen_1120,train,1,247,377
allergen_1302,train,1,533,378
allergen_477,train,1,244,379
allergen_3121,train,1,284,380
allergen_1583,train,1,269,381
allergen_1860,train,1,140,382
allergen_753,train,1,518,383
allergen_3124,train,1,248,384
allergen_2825,train,1,276,385
allergen_1180,train,1,79,386
allergen_1303,train,1,142,387
allergen_2484,train,1,143,388
allergen_3105,train,1,712,389
allergen_2587,train,1,17,390
allergen_822,train,1,506,391
allergen_3035,train,1,546,392
allergen_3171,train,1,251,393
allergen_3,train,1,260,394
allergen_36,train,1,192,395
allergen_1018,train,1,148,396
allergen_2019,train,1,131,397
allergen_1500,train,1,439,398
allergen_3018,train,1,686,399
allergen_1251,train,1,161,400
allergen_62,train,1,252,401
allergen_442,train,1,161,402
allergen_2477,train,1,16,403
allergen_1424,train,1,134,404
allergen_734,train,1,453,405
allergen_984,train,1,120,406
allergen_603,train,1,225,407
allergen_2881,train,1,108,408
allergen_931,train,1,307,409
allergen_3434,train,1,250,410
allergen_2143,train,1,264,411
allergen_239,train,1,253,412
allergen_1550,train,1,287,413
allergen_2929,train,1,134,414
allergen_3052,train,1,190,415
allergen_818,train,1,242,416
allergen_2222,train,1,590,417
allergen_2398,train,1,340,418
allergen_2915,train,1,192,419
allergen_361,train,1,521,420
allergen_1182,train,1,158,421
allergen_2330,train,1,222,422
allergen_1868,train,1,455,423
allergen_3393,train,1,142,424
allergen_349,train,1,131,425
allergen_1253,train,1,263,426
allergen_341,train,1,159,427
allergen_1486,train,1,358,428
allergen_987,train,1,463,429
allergen_33,train,1,579,430
allergen_2988,train,1,456,431
allergen_1878,train,1,150,432
allergen_2541,train,1,15,433
allergen_397,train,1,216,434
allergen_3125,train,1,933,435
allergen_1796,train,1,129,436
allergen_3122,train,1,284,437
allergen_3480,train,1,137,438
allergen_3227,train,1,440,439
allergen_279,train,1,133,440
allergen_1017,train,1,461,441
allergen_1114,train,1,158,442
allergen_492,train,1,98,443
allergen_165,train,1,110,444
allergen_1415,train,1,160,445
allergen_1488,train,1,160,446
allergen_2928,train,1,134,447
allergen_2128,train,1,137,448
allergen_3130,train,1,192,449
allergen_3030,train,1,187,450
allergen_1376,train,1,705,451
allergen_2446,train,1,368,452
allergen_3194,train,1,261,453
allergen_556,train,1,123,454
allergen_1674,train,1,356,455
allergen_1642,train,1,387,456
allergen_2124,train,1,500,457
allergen_694,train,1,795,458
allergen_3415,train,1,261,459
allergen_3426,train,1,266,460
allergen_2011,train,1,159,461
allergen_1548,train,1,287,462
allergen_1310,train,1,265,463
allergen_364,train,1,148,464
allergen_620,train,1,366,465
allergen_1354,train,1,514,466
allergen_3089,train,1,247,467
allergen_2186,train,1,25,468
allergen_1735,train,1,392,469
allergen_676,train,1,83,470
allergen_2629,train,1,159,471
allergen_3466,train,1,230,472
allergen_1181,train,1,72,473
allergen_2561,train,1,356,474
allergen_2806,train,1,114,475
allergen_3063,train,1,436,476
allergen_2317,train,1,177,477
allergen_1144,train,1,116,478
allergen_2416,train,1,470,479
allergen_717,train,1,149,480
allergen_2086,train,1,144,481
allergen_3142,train,1,256,482
allergen_1902,train,1,152,483
allergen_14,train,1,138,484
allergen_886,train,1,91,485
allergen_2601,train,1,19,486
allergen_2730,train,1,157,487
allergen_1739,train,1,131,488
allergen_971,train,1,80,489
allergen_2455,train,1,13,490
allergen_2495,train,1,17,491
allergen_861,train,1,109,492
allergen_326,train,1,155,493
allergen_1287,train,1,304,494
allergen_2794,train,1,154,495
allergen_2005,train,1,339,496
allergen_480,train,1,159,497
allergen_1384,train,1,136,498
allergen_324,train,1,187,499
allergen_921,train,1,301,500
allergen_1721,train,1,373,501
allergen_2008,train,1,284,502
allergen_1476,train,1,199,503
allergen_1782,train,1,131,504
allergen_1236,train,1,39,505
allergen_1037,train,1,168,506
allergen_1598,train,1,169,507
allergen_1600,train,1,374,508
allergen_1585,train,1,102,509
allergen_2692,train,1,129,510
allergen_731,train,1,175,511
allergen_2959,train,1,134,512
allergen_3429,train,1,265,513
allergen_2759,train,1,88,514
allergen_1894,train,1,159,515
allergen_1301,train,1,204,516
allergen_2884,train,1,194,517
allergen_3049,train,1,397,518
allergen_1185,train,1,192,519
allergen_559,train,1,284,520
allergen_2498,train,1,538,521
allergen_1092,train,1,163,522
allergen_1580,train,1,330,523
allergen_3322,train,1,77,524
allergen_666,train,1,155,525
allergen_2213,train,1,118,526
allergen_2874,train,1,759,527
allergen_1133,train,1,267,528
allergen_1451,train,1,160,529
allergen_630,train,1,91,530
allergen_2789,train,1,118,531
allergen_215,train,1,160,532
allergen_2307,train,1,156,533
allergen_1558,train,1,287,534
allergen_1553,train,1,287,535
allergen_3291,train,1,239,536
allergen_1004,train,1,539,537
allergen_882,train,1,92,538
allergen_1676,train,1,131,539
allergen_2836,train,1,210,540
allergen_2676,train,1,123,541
allergen_2834,train,1,155,542
allergen_2694,train,1,142,543
allergen_1709,train,1,403,544
allergen_2582,train,1,23,545
allergen_2475,train,1,13,546
allergen_3509,train,1,30,547
allergen_1496,train,1,109,548
allergen_3279,train,1,246,549
allergen_2452,train,1,14,550
allergen_2432,train,1,39,551
allergen_1738,train,1,254,552
allergen_1295,train,1,165,553
allergen_2555,train,1,24,554
allergen_3498,train,1,137,555
allergen_2348,train,1,96,556
allergen_169,train,1,245,557
allergen_2000,train,1,284,558
allergen_2586,train,1,20,559
allergen_2250,train,1,594,560
allergen_3068,train,1,143,561
allergen_1351,train,1,196,562
allergen_830,train,1,23,563
allergen_184,train,1,160,564
allergen_2069,train,1,95,565
allergen_1615,train,1,141,566
allergen_2287,train,1,131,567
allergen_928,train,1,149,568
allergen_2873,train,1,54,569
allergen_2043,train,1,154,570
allergen_1437,train,1,263,571
allergen_1802,train,1,169,572
allergen_1882,train,1,321,573
allergen_1855,train,1,152,574
allergen_2888,train,1,550,575
allergen_2302,train,1,19,576
allergen_1012,train,1,296,577
allergen_2943,train,1,134,578
allergen_1885,train,1,284,579
allergen_3127,train,1,457,580
allergen_351,train,1,131,581
allergen_382,train,1,666,582
allergen_844,train,1,467,583
allergen_2529,train,1,12,584
allergen_3225,train,1,177,585
allergen_1217,train,1,217,586
allergen_1971,train,1,109,587
allergen_1362,train,1,259,588
allergen_2280,train,1,166,589
allergen_1386,train,1,92,590
allergen_615,train,1,157,591
allergen_2901,train,1,108,592
allergen_3521,train,1,45,593
allergen_2747,train,1,160,594
allergen_2634,train,1,636,595
allergen_1274,train,1,639,596
allergen_972,train,1,65,597
allergen_3392,train,1,143,598
allergen_2127,train,1,138,599
allergen_1365,train,1,232,600
allergen_2092,train,1,391,601
allergen_93,train,1,160,602
allergen_3464,train,1,235,603
allergen_3529,train,1,517,604
allergen_1244,train,1,141,605
allergen_435,train,1,308,606
allergen_2774,train,1,154,607
allergen_877,train,1,231,608
allergen_201,train,1,133,609
allergen_3104,train,1,145,610
allergen_1317,train,1,38,611
allergen_1472,train,1,134,612
allergen_3475,train,1,137,613
allergen_1166,train,1,86,614
allergen_1359,train,1,111,615
allergen_2445,train,1,11,616
allergen_710,train,1,462,617
allergen_1153,train,1,134,618
allergen_1693,train,1,127,619
allergen_868,train,1,302,620
allergen_602,train,1,225,621
allergen_2816,train,1,264,622
allergen_196,train,1,503,623
allergen_1371,train,1,160,624
allergen_947,train,1,190,625
allergen_2675,train,1,129,626
allergen_5,train,1,403,627
allergen_1960,train,1,134,628
allergen_2176,train,1,133,629
allergen_1033,train,1,60,630
allergen_3398,train,1,276,631
allergen_1765,train,1,160,632
allergen_2641,train,1,159,633
allergen_742,train,1,142,634
allergen_328,train,1,134,635
allergen_244,train,1,154,636
allergen_2311,train,1,158,637
allergen_3347,train,1,353,638
allergen_2723,train,1,159,639
allergen_683,train,1,168,640
allergen_3261,train,1,242,641
allergen_135,train,1,274,642
allergen_3176,train,1,255,643
allergen_3381,train,1,180,644
allergen_3387,train,1,132,645
allergen_247,train,1,160,646
allergen_411,train,1,613,647
allergen_2966,train,1,134,648
allergen_448,train,1,81,649
allergen_1461,train,1,457,650
allergen_3065,train,1,130,651
allergen_2803,train,1,148,652
allergen_1619,train,1,141,653
allergen_2757,train,1,168,654
allergen_1578,train,1,109,655
allergen_1922,train,1,284,656
allergen_2838,train,1,212,657
allergen_1229,train,1,286,658
allergen_2990,train,1,118,659
allergen_1778,train,1,142,660
allergen_3471,train,1,122,661
allergen_2320,train,1,122,662
allergen_2349,train,1,92,663
allergen_3343,train,1,359,664
allergen_797,train,1,160,665
allergen_3179,train,1,257,666
allergen_1032,train,1,108,667
allergen_3107,train,1,339,668
allergen_804,train,1,265,669
allergen_766,train,1,109,670
allergen_3088,train,1,160,671
allergen_751,train,1,212,672
allergen_568,train,1,481,673
allergen_3319,train,1,83,674
allergen_774,train,1,131,675
allergen_1963,train,1,145,676
allergen_1974,train,1,159,677
allergen_307,train,1,177,678
allergen_1246,train,1,333,679
allergen_1759,train,1,404,680
allergen_256,train,1,351,681
allergen_1711,train,1,388,682
allergen_2386,train,1,162,683
allergen_1101,train,1,779,684
allergen_1647,train,1,141,685
allergen_3169,train,1,262,686
allergen_821,train,1,109,687
allergen_491,train,1,318,688
allergen_2046,train,1,154,689
allergen_594,train,1,252,690
allergen_1579,train,1,219,691
allergen_2380,train,1,388,692
allergen_919,train,1,284,693
allergen_593,train,1,261,694
allergen_3185,train,1,249,695
allergen_3235,train,1,429,696
allergen_297,train,1,145,697
allergen_837,train,1,284,698
allergen_2554,train,1,23,699
allergen_453,train,1,176,700
allergen_1099,train,1,109,701
allergen_848,train,1,147,702
allergen_3252,train,1,410,703
allergen_871,train,1,494,704
allergen_1003,train,1,507,705
allergen_260,train,1,131,706
allergen_912,train,1,228,707
allergen_395,train,1,397,708
allergen_1095,train,1,247,709
allergen_2410,train,1,149,710
allergen_295,train,1,308,711
allergen_1102,train,1,174,712
allergen_1218,train,1,217,713
allergen_449,train,1,131,714
allergen_2053,train,1,108,715
allergen_3403,train,1,290,716
allergen_1890,train,1,133,717
allergen_2423,train,1,147,718
allergen_3427,train,1,255,719
allergen_1393,train,1,141,720
allergen_2996,train,1,321,721
allergen_476,train,1,108,722
allergen_2690,train,1,253,723
allergen_2845,train,1,607,724
allergen_990,train,1,70,725
allergen_1880,train,1,150,726
allergen_3512,train,1,14,727
allergen_516,train,1,480,728
allergen_2062,train,1,108,729
allergen_3257,train,1,381,730
allergen_771,train,1,144,731
allergen_2479,train,1,16,732
allergen_438,train,1,668,733
allergen_574,train,1,112,734
allergen_3334,train,1,65,735
allergen_2665,train,1,381,736
allergen_2975,train,1,134,737
allergen_1081,train,1,88,738
allergen_2980,train,1,643,739
allergen_2521,train,1,134,740
allergen_2590,train,1,18,741
allergen_859,train,1,109,742
allergen_1699,train,1,94,743
allergen_1400,train,1,82,744
allergen_609,train,1,160,745
allergen_1873,train,1,150,746
allergen_387,train,1,340,747
allergen_2868,train,1,131,748
allergen_648,train,1,423,749
allergen_1746,train,1,312,750
allergen_3276,train,1,207,751
allergen_428,train,1,259,752
allergen_323,train,1,162,753
allergen_1455,train,1,159,754
allergen_2436,train,1,160,755
allergen_500,train,1,154,756
allergen_1427,train,1,187,757
allergen_3262,train,1,240,758
allergen_3073,train,1,118,759
allergen_1230,train,1,296,760
allergen_2214,train,1,93,761
allergen_2148,train,1,163,762
allergen_383,train,1,625,763
allergen_2628,train,1,112,764
allergen_213,train,1,160,765
allergen_194,train,1,75,766
allergen_1539,train,1,129,767
allergen_1968,train,1,346,768
allergen_2518,train,1,202,769
allergen_542,train,1,185,770
allergen_1996,train,1,284,771
allergen_1839,train,1,284,772
allergen_188,train,1,160,773
allergen_502,train,1,342,774
allergen_86,train,1,161,775
allergen_2790,train,1,110,776
allergen_1401,train,1,399,777
allergen_2224,train,1,593,778
allergen_83,train,1,233,779
allergen_3277,train,1,235,780
allergen_2326,train,1,303,781
allergen_2870,train,1,84,782
allergen_2872,train,1,380,783
allergen_3330,train,1,65,784
allergen_29,train,1,188,785
allergen_1056,train,1,155,786
allergen_2941,train,1,134,787
allergen_798,train,1,160,788
allergen_688,train,1,117,789
allergen_1042,train,1,259,790
allergen_832,train,1,109,791
allergen_2481,train,1,244,792
allergen_1156,train,1,153,793
allergen_2102,train,1,309,794
allergen_633,train,1,115,795
allergen_3160,train,1,121,796
allergen_1770,train,1,269,797
allergen_1742,train,1,284,798
allergen_146,train,1,731,799
allergen_2041,train,1,397,800
allergen_2247,train,1,135,801
allergen_1952,train,1,380,802
allergen_1933,train,1,373,803
allergen_1827,train,1,207,804
allergen_2702,train,1,412,805
allergen_645,train,1,131,806
allergen_3301,train,1,105,807
allergen_3255,train,1,383,808
allergen_2296,train,1,131,809
allergen_1541,train,1,129,810
allergen_2268,train,1,110,811
allergen_2318,train,1,113,812
allergen_2291,train,1,184,813
allergen_1656,train,1,428,814
allergen_2801,train,1,218,815
allergen_3473,train,1,138,816
allergen_2648,train,1,207,817
allergen_243,train,1,154,818
allergen_1071,train,1,116,819
allergen_3337,train,1,65,820
allergen_3108,train,1,518,821
allergen_336,train,1,284,822
allergen_2594,train,1,49,823
allergen_3166,train,1,257,824
allergen_1190,train,1,141,825
allergen_1040,train,1,118,826
allergen_1948,train,1,222,827
allergen_2328,train,1,145,828
allergen_700,train,1,125,829
allergen_3456,train,1,217,830
allergen_3102,train,1,284,831
allergen_769,train,1,230,832
allergen_1337,train,1,229,833
allergen_166,train,1,145,834
allergen_2453,train,1,14,835
allergen_1450,train,1,120,836
allergen_1100,train,1,172,837
allergen_2532,train,1,24,838
allergen_2508,train,1,13,839
allergen_1595,train,1,203,840
allergen_2129,train,1,213,841
allergen_1405,train,1,80,842
allergen_2826,train,1,273,843
allergen_2109,train,1,51,844
allergen_2620,train,1,160,845
allergen_3311,train,1,96,846
allergen_3324,train,1,70,847
allergen_1602,train,1,132,848
allergen_248,train,1,141,849
allergen_71,train,1,146,850
allergen_1396,train,1,170,851
allergen_136,train,1,350,852
allergen_1418,train,1,133,853
allergen_2382,train,1,389,854
allergen_1576,train,1,242,855
allergen_2603,train,1,11,856
allergen_764,train,1,136,857
allergen_3019,train,1,54,858
allergen_2890,train,1,562,859
allergen_632,train,1,115,860
allergen_1521,train,1,129,861
allergen_2459,train,1,14,862
allergen_2052,train,1,98,863
allergen_2359,train,1,332,864
allergen_1943,train,1,160,865
allergen_1664,train,1,110,866
allergen_2342,train,1,106,867
allergen_2646,train,1,159,868
allergen_1225,train,1,307,869
allergen_2001,train,1,219,870
allergen_2345,train,1,757,871
allergen_1283,train,1,262,872
allergen_3021,train,1,172,873
allergen_1543,train,1,129,874
allergen_25,train,1,45,875
allergen_1053,train,1,117,876
allergen_2165,train,1,159,877
allergen_396,train,1,111,878
allergen_3519,train,1,17,879
allergen_2246,train,1,133,880
allergen_966,train,1,284,881
allergen_994,train,1,237,882
allergen_2580,train,1,13,883
allergen_826,train,1,381,884
allergen_3396,train,1,275,885
allergen_918,train,1,106,886
allergen_2059,train,1,108,887
allergen_3306,train,1,100,888
allergen_121,train,1,160,889
allergen_1680,train,1,246,890
allergen_2447,train,1,86,891
allergen_2954,train,1,134,892
allergen_1275,train,1,516,893
allergen_1701,train,1,20,894
allergen_904,train,1,131,895
allergen_969,train,1,131,896
allergen_1514,train,1,154,897
allergen_2390,train,1,411,898
allergen_2141,train,1,264,899
allergen_805,train,1,199,900
allergen_2987,train,1,238,901
allergen_3221,train,1,164,902
allergen_949,train,1,357,903
allergen_2106,train,1,94,904
allergen_3013,train,1,407,905
allergen_3507,train,1,154,906
allergen_948,train,1,208,907
allergen_2022,train,1,108,908
allergen_745,train,1,249,909
allergen_3028,train,1,215,910
allergen_2773,train,1,512,911
allergen_2159,train,1,178,912
allergen_1725,train,1,131,913
allergen_141,train,1,159,914
allergen_425,train,1,367,915
allergen_440,train,1,131,916
allergen_934,train,1,170,917
allergen_250,train,1,274,918
allergen_1999,train,1,284,919
allergen_3481,train,1,137,920
allergen_3175,train,1,275,921
allergen_2788,train,1,207,922
allergen_2381,train,1,383,923
allergen_140,train,1,138,924
allergen_2295,train,1,510,925
allergen_1622,train,1,131,926
allergen_3420,train,1,273,927
allergen_1714,train,1,12,928
allergen_3041,train,1,584,929
allergen_1643,train,1,284,930
allergen_614,train,1,316,931
allergen_1297,train,1,440,932
allergen_1489,train,1,160,933
allergen_787,train,1,505,934
allergen_1385,train,1,88,935
allergen_2767,train,1,88,936
allergen_760,train,1,185,937
allergen_192,train,1,299,938
allergen_831,train,1,131,939
allergen_2089,train,1,108,940
allergen_3209,train,1,266,941
allergen_2964,train,1,131,942
allergen_3290,train,1,158,943
allergen_2036,train,1,472,944
allergen_283,train,1,152,945
allergen_1366,train,1,160,946
allergen_572,train,1,196,947
